danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,name,artist
0.475,0.897,5,-2.383,0,0.0736,0.0184,0,0.296,0.642,78.918,audio_features,7dlNGfd6Fq8xcFb4K6Glws,spotify:track:7dlNGfd6Fq8xcFb4K6Glws,https://api.spotify.com/v1/tracks/7dlNGfd6Fq8xcFb4K6Glws,https://api.spotify.com/v1/audio-analysis/7dlNGfd6Fq8xcFb4K6Glws,210577,4,I Need U,BTS
0.676,0.869,1,-1.573,1,0.0423,0.115,0,0.132,0.594,120.029,audio_features,0pYacDCZuRhcrwGUA5nTBe,spotify:track:0pYacDCZuRhcrwGUA5nTBe,https://api.spotify.com/v1/tracks/0pYacDCZuRhcrwGUA5nTBe,https://api.spotify.com/v1/audio-analysis/0pYacDCZuRhcrwGUA5nTBe,167573,4,eight(Prod.&Feat. SUGA of BTS),IU
0.839,0.902,1,-3.612,0,0.0536,0.0868,0.00257,0.272,0.639,114.953,audio_features,42tFTth2jcF7iSo0RBjfJF,spotify:track:42tFTth2jcF7iSo0RBjfJF,https://api.spotify.com/v1/tracks/42tFTth2jcF7iSo0RBjfJF,https://api.spotify.com/v1/audio-analysis/42tFTth2jcF7iSo0RBjfJF,189050,4,Peek-A-Boo,Red Velvet
0.726,0.903,7,-2.277,0,0.0357,0.055,0.000225,0.158,0.958,129.986,audio_features,5HiSc2ZCGn8L3cH3qSwzBT,spotify:track:5HiSc2ZCGn8L3cH3qSwzBT,https://api.spotify.com/v1/tracks/5HiSc2ZCGn8L3cH3qSwzBT,https://api.spotify.com/v1/audio-analysis/5HiSc2ZCGn8L3cH3qSwzBT,211244,4,러시안 룰렛 Russian Roulette,Red Velvet
0.51,0.842,11,-2.782,0,0.103,0.00852,0,0.346,0.302,87.605,audio_features,0EQMrxdeiBhry9JCxskko3,spotify:track:0EQMrxdeiBhry9JCxskko3,https://api.spotify.com/v1/tracks/0EQMrxdeiBhry9JCxskko3,https://api.spotify.com/v1/audio-analysis/0EQMrxdeiBhry9JCxskko3,240339,4,I'm Fine,BTS
0.614,0.333,10,-8.883,1,0.0325,0.645,0,0.0819,0.661,140.059,audio_features,5xv9DhjYckZoZwXifGrkQw,spotify:track:5xv9DhjYckZoZwXifGrkQw,https://api.spotify.com/v1/tracks/5xv9DhjYckZoZwXifGrkQw,https://api.spotify.com/v1/audio-analysis/5xv9DhjYckZoZwXifGrkQw,197000,4,I'm In Love,Colde
0.441,0.59,0,-5.615,1,0.0514,0.242,0,0.349,0.411,84.633,audio_features,3QdjLOemIcMZovVOnvJP7P,spotify:track:3QdjLOemIcMZovVOnvJP7P,https://api.spotify.com/v1/tracks/3QdjLOemIcMZovVOnvJP7P,https://api.spotify.com/v1/audio-analysis/3QdjLOemIcMZovVOnvJP7P,167821,4,Just A Little Bit,ENHYPEN
0.671,0.918,7,-2.267,0,0.0615,0.0349,9.59e-06,0.215,0.543,97.005,audio_features,4EMAaWwu2zXTkXIA6YPKkt,spotify:track:4EMAaWwu2zXTkXIA6YPKkt,https://api.spotify.com/v1/tracks/4EMAaWwu2zXTkXIA6YPKkt,https://api.spotify.com/v1/audio-analysis/4EMAaWwu2zXTkXIA6YPKkt,196801,4,Hi High,LOONA
0.751,0.642,3,-5.165,0,0.087,0.0861,0,0.0953,0.388,95.045,audio_features,2wVDWtLKXunswWecARNILj,spotify:track:2wVDWtLKXunswWecARNILj,https://api.spotify.com/v1/tracks/2wVDWtLKXunswWecARNILj,https://api.spotify.com/v1/audio-analysis/2wVDWtLKXunswWecARNILj,169567,4,SOLO,JENNIE
0.636,0.702,0,-5.352,0,0.0334,0.0223,0,0.293,0.516,135.104,audio_features,2ujA6F1cpk3m8lsPE5aKua,spotify:track:2ujA6F1cpk3m8lsPE5aKua,https://api.spotify.com/v1/tracks/2ujA6F1cpk3m8lsPE5aKua,https://api.spotify.com/v1/audio-analysis/2ujA6F1cpk3m8lsPE5aKua,176026,4,The Eve,EXO
