id,title,artist,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
2ApfJvLr7RbhJl6NOVhEu6,Singularity,BTS,0.775,0.272,1,-9.126,0,0.56,0.00278,0.112,0.198,103.991,196998,3
4as4XEOR03oGm1STUKl6pa,BBIBBI,IU,0.839,0.617,7,-4.692,1,0.241,0.0,0.3,0.821,143.894,194426,4
01380RE6UfsPSdiUIwrCoH,MIC Drop (Steve Aoki Remix) - Full Length Edition,Steve Aoki,0.606,0.85,11,-3.952,1,0.0114,1.01e-06,0.206,0.542,170.01,307676,4
5xrtzzzikpG3BLbo4q1Yul,LILAC,IU,0.738,0.89,2,-2.275,0,0.0895,1.89e-06,0.213,0.75,114.942,214253,4
6Yc3tjFCVR2bfAQFRTZBef,HOME,BTS,0.633,0.799,7,-4.625,0,0.0144,0.0,0.194,0.534,142.991,234178,4
1oVEVmVaI590kt8bCZ90uU,Holiday Party,Weeekly,0.825,0.72,7,-4.196,1,0.00846,6.88e-06,0.0294,0.417,87.993,189307,4
1ry2mTVmAJHbNLzl5qww5v,So What,LOONA,0.609,0.944,11,-2.503,1,0.0963,1.26e-05,0.222,0.533,125.121,198001,4
6rVCUwfnuYTAsX4P9fIdIu,Dreams Come True,aespa,0.686,0.901,0,-0.21,1,0.0699,0.0,0.306,0.571,98.977,204933,4
3dbLT62Cvs46Ju7a8gpr36,Savage,aespa,0.727,0.879,9,-1.167,1,0.124,1.17e-05,0.244,0.671,146.959,238144,4
2zrhoHlFKxFTRF5aMyxMoQ,Next Level,aespa,0.82,0.852,11,-2.567,0,0.488,5.94e-06,0.0907,0.82,109.036,221573,4
0IEVKWduAaMcZepZQVr80T,Likey,TWICE,0.723,0.903,4,-1.262,0,0.413,0.000377,0.118,0.443,132.006,207813,4
3zhbXKFjUDw40pTYyCgt1Y,What is Love,TWICE,0.574,0.909,8,-1.573,1,0.0987,0.0,0.264,0.569,169.966,208240,4
4C1gPXWkowF036ec0eeyMn,I'LL BE YOUR SPRING,Olivia Hye,0.581,0.45,9,-7.019,1,0.726,0.0,0.0997,0.28,77.202,189664,4
6qcStcFkvl3XmlO5dNVeTJ,KNOCK KNOCK,TWICE,0.672,0.968,1,-2.636,0,0.0243,0.0,0.0586,0.473,129.971,195753,4
4c2fRixcg0mAM67Xp7xG4S,MORE & MORE,TWICE,0.739,0.841,5,-4.162,1,0.0312,0.0,0.173,0.562,106.99,199653,4
0H2rYzZUrfW9dGucTw2BBf,CANDY,TWICE,0.853,0.734,8,-2.347,1,0.212,0.0,0.0671,0.78,116.03,195053,4
45NOI0pWJD329lSnihcQo3,GET LOUD,TWICE,0.727,0.956,11,-3.636,0,0.046,0.00129,0.338,0.851,119.999,186970,4
1rqUSm3mxl0qKo9Tjbt9jX,선인장 (CACTUS),TWICE,0.511,0.615,11,-4.081,1,0.122,0.0,0.154,0.223,169.835,217213,4
1AmRH4GPVnP8NUSbX22HwB,"HELLO (NAYEON, MOMO, CHAEYOUNG)",TWICE,0.813,0.638,0,-4.274,0,0.0363,0.0,0.057,0.544,169.968,183213,4
1ZEFYW6nPEvIcsIvymgsLk,WA-R-R,Colde,0.735,0.358,1,-9.227,0,0.873,0.0,0.102,0.236,112.901,272000,3
7CAdT0HdiQNlt1C7xk2hep,Stay Alive (Prod. SUGA of BTS),Jung Kook,0.512,0.76,2,-5.889,0,0.299,0.0,0.103,0.495,130.096,210928,4
5elW2CKSoqjYoJ32AGDxf1,Polaroid Love,ENHYPEN,0.738,0.67,7,-3.766,0,0.458,0.0,0.361,0.651,138.055,184602,4
1E8Cztx0OIj4zm1IZh2XXj,Like A Fool,Sam Kim,0.496,0.491,9,-8.628,1,0.55,0.0,0.123,0.5,176.92,214427,3
1nFjZcb68bXrNVStialSdC,Balloon,ZICO,0.74,0.423,1,-9.71,0,0.815,0.0782,0.107,0.629,90.001,218680,4
34xITkFwc6r6axSKEWcMzA,Friend,Kim Heewon,0.323,0.237,8,-10.703,1,0.921,0.0,0.213,0.194,148.885,263933,4
